cx,cy,area,x,y,w,h,width,height,aspectratio,extent,solidity,angle,tag
2595,3979,2.1066471877282686,2552,3962,83,42,2.2432432432432434,1.135135135135135,1.9761904761904765,0.8273092369477911,0.9873331051009928,94.25987243652344,13
4089,3940,0.3623082542001461,4081,3925,17,32,0.4594594594594595,0.8648648648648649,0.53125,0.9117647058823528,1.0,0.0,13
3929,3940,6.634769905040176,3783,3925,294,32,7.945945945945946,0.8648648648648649,9.1875,0.9654549319727892,1.0,0.0,13
3541,3940,10.68809349890431,3305,3925,473,32,12.783783783783784,0.8648648648648649,14.78125,0.9667019027484144,1.0,0.0,13
3202,3941,4.393718042366691,3086,3925,215,32,5.8108108108108105,0.8648648648648649,6.71875,0.8742732558139535,0.9465732945156976,85.56704711914062,13
3099,3928,0.1460920379839298,3087,3925,31,10,0.8378378378378378,0.2702702702702703,3.1,0.6451612903225806,0.97323600973236,62.01582336425781,49
2979,3941,4.578524470416363,2859,3925,223,32,6.027027027027027,0.8648648648648649,6.96875,0.8783632286995515,0.94840369193524,85.08379364013672,13
2871,3928,0.14572680788897,2859,3925,32,10,0.8648648648648649,0.2702702702702703,3.2,0.6234375,0.9684466019417476,57.58553695678711,49
2797,3940,2.5569758948137324,2741,3925,114,32,3.081081081081081,0.8648648648648649,3.5625,0.9595668859649122,0.9997144081108096,113.08807373046876,13
2687,3940,2.1738495252008767,2639,3925,97,32,2.621621621621621,0.8648648648648649,3.03125,0.9587628865979382,1.0,0.0,13
2593,3940,1.8568298027757488,2552,3925,83,32,2.2432432432432434,0.8648648648648649,2.59375,0.957078313253012,1.0,0.0,13
2143,3940,18.27392257121987,1740,3925,808,32,21.83783783783784,0.8648648648648649,25.25,0.967551051980198,1.0,0.0,13
1661,3941,3.256391526661797,1573,3925,163,32,4.405405405405405,0.8648648648648649,5.09375,0.8546779141104295,0.9345911949685536,83.78179931640625,13
1495,3940,3.29218407596786,1412,3925,157,32,4.243243243243243,0.8648648648648649,4.90625,0.897093949044586,0.9598551804919604,0.0,13
1307,3939,3.048575602629657,1222,3925,156,32,4.216216216216216,0.8648648648648649,4.875,0.8360376602564102,0.896659147061983,94.614990234375,13
1103,3940,5.117604090577063,990,3925,227,32,6.135135135135135,0.8648648648648649,7.09375,0.9644823788546256,1.0,0.0,13
