cx,cy,area,x,y,width,height,aspectratio,extent,solidity,angle,w,h,tag
3488.0,986.0,0.4032,3428.0,969.0,3.2,0.6666666666666666,4.800000000000001,0.189,0.3575031525851198,100.53076171875,,,13
2709.0,927.0,0.3811555555555556,2652.0,904.0,3.04,0.88,3.4545454545454546,0.1424774056353003,0.3630206569590247,78.16006469726562,,,13
3589.0,931.0,1.7560888888888888,3556.0,900.0,2.053333333333333,3.28,0.6260162601626016,0.2607433217189315,0.4804474708171206,0.0,,,13
3136.0,918.0,0.4035555555555555,3078.0,893.0,3.1466666666666665,0.9866666666666668,3.189189189189189,0.1299816765918461,0.3431076178960097,109.52879333496094,,,13
3418.0,899.0,1.626311111111111,3399.0,862.0,1.36,3.6266666666666665,0.375,0.3297289504036908,0.5628153070013534,14.03504467010498,,,13
542.0,882.0,0.5162666666666667,465.0,862.0,3.92,0.8,4.9,0.164625850340136,0.3172383657417522,85.74996948242188,,,13
3244.0,865.0,1.6995555555555557,3226.0,825.0,1.36,3.9466666666666654,0.3445945945945946,0.316640169581346,0.5459113750571037,13.980087280273438,,,13
2627.0,863.0,1.6238222222222225,2608.0,825.0,1.36,3.9466666666666654,0.3445945945945946,0.3025304716481187,0.5296300591441494,10.141730308532717,,,13
503.0,809.0,0.1372444444444444,496.0,802.0,0.4533333333333333,0.4266666666666667,1.0624999999999998,0.7095588235294118,0.9846938775510204,90.0,,,100
2796.0,828.0,1.728711111111111,2777.0,787.0,1.36,3.973333333333333,0.3422818791946309,0.319910514541387,0.5477692654348806,12.822792053222656,,,13
447.0,811.0,1.6124444444444443,429.0,770.0,1.36,3.92,0.3469387755102041,0.302454315059357,0.5237930237930238,13.518871307373049,,,13
644.0,802.0,2.1941333333333333,624.0,750.0,1.36,3.9466666666666654,0.3445945945945946,0.4087837837837837,0.5876023614549609,11.309528350830078,,,13
2284.0,794.0,0.8579555555555556,2268.0,741.0,0.8533333333333334,2.72,0.3137254901960784,0.3696384803921568,0.524223332609168,2.853369951248169,,,101
2204.0,788.0,0.5852444444444445,2201.0,712.0,0.2133333333333333,4.1866666666666665,0.0509554140127388,0.6552547770700636,0.7830637488106565,0.0,,,109
454.0,678.0,0.3228444444444444,416.0,675.0,2.053333333333333,0.1866666666666666,10.999999999999998,0.8423005565862708,1.0,90.0,,,13
3187.0,661.0,0.4476444444444444,3118.0,654.0,3.733333333333333,0.8266666666666667,4.516129032258065,0.1450460829493087,0.2984826932195353,96.20899200439452,,,13
3256.0,754.0,1.6266666666666667,3226.0,646.0,1.36,3.9466666666666654,0.3445945945945946,0.303060413354531,0.5259225198298656,5.189209938049316,,,13
1646.0,761.0,2.772266666666667,1618.0,640.0,1.36,4.64,0.2931034482758621,0.4393171061528059,0.6640265712825754,5.153228759765625,,,13
2386.0,688.0,0.8579555555555556,2374.0,634.0,0.8533333333333334,2.293333333333333,0.3720930232558139,0.4384084302325581,0.705968402574605,176.36111450195312,,,102
3429.0,735.0,1.539911111111111,3399.0,628.0,1.36,3.92,0.3469387755102041,0.2888488728824863,0.5040148958454556,9.46038055419922,,,13
3070.0,769.0,3.131022222222222,3045.0,628.0,1.3866666666666667,7.706666666666667,0.1799307958477508,0.2929864253393665,0.4891406987724268,5.885097980499268,,,13
3523.0,634.0,0.3854222222222222,3467.0,626.0,3.04,0.7733333333333333,3.931034482758621,0.1639443436176648,0.3542483660130718,75.7916488647461,,,13
3776.0,781.0,3.369955555555556,3745.0,621.0,1.36,7.1466666666666665,0.1902985074626866,0.3467222709979514,0.4522378089512358,3.625434875488281,,,13
1996.0,759.0,3.115733333333333,1968.0,621.0,1.36,5.653333333333333,0.2405660377358491,0.4052441731409544,0.562127140932709,2.205739736557007,,,13
1461.0,759.0,3.0574222222222223,1433.0,621.0,1.36,5.626666666666667,0.2417061611374407,0.3995446519840163,0.552954793903929,2.2788572311401367,,,13
2743.0,623.0,0.4188444444444444,2681.0,616.0,3.333333333333333,0.7466666666666667,4.464285714285714,0.1682857142857143,0.3446459918080749,99.06578826904295,,,13
2808.0,714.0,1.7201777777777778,2777.0,609.0,1.36,3.9466666666666654,0.3445945945945946,0.3204822469528351,0.5536102528893466,18.17932510375977,,,13
2448.0,763.0,3.3198222222222222,2417.0,596.0,1.36,7.76,0.1752577319587629,0.3145677514992251,0.3880069813829787,3.427343845367432,,,13
